DateTime,PT Tower,ET Tower,PT-JPL ET,DisALEXI ET
2022-03-06,1.1092917411626086,,0.774,1.083
2022-03-07,0.4821788282275032,,0.39,0.542
2022-03-08,1.1066969120648278,2.9034891411377526,0.738,1.017
2022-03-09,1.2627406769915763,3.2138393723014422,0.993,1.356
2022-03-10,0.7608576734110498,1.838444501560015,0.701,0.95
2022-03-11,-0.2310153430085402,1.4400853662723672,0.455,0.611
2022-03-12,0.33355838990006065,2.2111225430425363,1.019,1.359
2022-03-13,1.896303089157607,2.9718645068397413,1.909,2.526
2022-03-14,1.586031402168611,3.979095887330793,1.866,2.451
2022-03-15,1.2479790736684135,1.919820466923252,1.411,1.839
2022-03-16,1.6208356080662882,3.0978897503378384,1.898,2.454
2022-03-17,1.1901035186379212,2.199966352528097,1.807,2.319
2022-03-18,0.020404044670647912,0.5740000564069847,0.536,0.683
2022-03-19,0.2368945328946415,,0.54,0.683
2022-03-20,1.9930864616957933,4.300020638948469,1.906,2.393
2022-03-21,1.9317141472099875,3.970205334361391,2.36,2.942
2022-03-22,0.5576820307979375,2.4331179782523606,1.162,1.438
2022-03-23,0.8246527832267907,,0.94,1.155
2022-03-24,1.072524043791498,,0.787,0.96
2022-03-25,0.9391865749339349,,1.302,1.578
2022-03-26,1.5251180861265943,3.1836982660868705,1.084,1.305
2022-03-27,1.6058943997355593,2.192575811180137,1.38,1.649
2022-03-28,1.5067752358359103,1.7706395669140054,1.448,1.719
2022-03-29,0.7497534229614874,1.985678314605709,1.809,2.133
2022-03-30,0.042974362224260675,,0.588,0.689
2022-03-31,0.3906438675475922,,0.355,0.413
2022-04-01,1.4571906981214635,2.87520678884325,1.262,1.459
2022-04-02,0.5995426292359113,2.019461686654264,1.263,1.45
2022-04-03,2.2834228287464504,3.079543034741877,1.891,2.156
2022-04-04,2.1525637989117556,3.560690438576429,1.597,1.81
2022-04-05,0.45024545753593914,0.4321344100972394,0.875,0.985
2022-04-06,1.9108101405772746,,1.744,1.952
2022-04-07,1.0772756017086569,3.6743619432336607,1.326,1.475
2022-04-08,0.9285379040906481,2.2465020606485875,0.884,0.977
2022-04-09,2.1333723948438044,3.193643389923559,1.781,1.956
2022-04-10,2.6380897167518578,4.3017115231575245,2.818,3.076
2022-04-11,0.6438337445963137,0.944081284604904,1.677,1.819
2022-04-12,1.1536002977522677,0.8421770438908563,2.013,2.17
2022-04-13,-0.17223742135180753,1.282950836846488,0.784,0.841
2022-04-14,2.6886135534141657,5.918542463494001,2.755,2.935
2022-04-15,1.9138497168819613,2.597948987833698,2.201,2.352
2022-04-16,2.4939072123635677,2.8552317979253306,2.101,2.252
